game_name,critic_score,user_score,publisher,release_date,num_of_critics,num_of_users,origin,platform,AAA
Dead by Daylight,56.0,68.0,505 Games,2017,9.0,25.0,MetaCritic,X1,0
Dead or Alive 2,91.37,,Tecmo,2000,39.0,,GameRankings,DC,0
Dead or Alive 3,86.19,,Microsoft,2001,60.0,,GameRankings,XBOX,1
Dead or Alive 4,85.49,,Tecmo,2005,85.0,,GameRankings,X360,0
Dead or Alive 4,85.0,82.0,Tecmo,2005,76.0,237.0,MetaCritic,X360,0
Dead or Alive 5,74.57,,Tecmo Koei Games,2012,28.0,,GameRankings,PS3,0
Dead or Alive 5,76.0,79.0,Tecmo Koei America Corp.,2012,39.0,96.0,MetaCritic,X360,0
Dead or Alive 5,74.0,76.0,Tecmo Koei America Corp.,2012,34.0,112.0,MetaCritic,PS3,0
Dead or Alive 5,79.45,,Tecmo Koei Games,2012,31.0,,GameRankings,X360,0
Dead or Alive 5 Plus,83.4,,Tecmo Koei Games,2013,25.0,,GameRankings,VITA,0
Dead or Alive 5 Ultimate,77.0,81.0,Tecmo Koei America Corp.,2013,25.0,65.0,MetaCritic,PS3,0
Dead or Alive 5 Ultimate,77.38,,Koei Tecmo Games,2013,21.0,,GameRankings,PS3,0
Dead or Alive 5 Ultimate,75.0,75.0,Tecmo Koei America Corp.,2013,10.0,28.0,MetaCritic,X360,0
Dead or Alive 5: Last Round,74.0,72.0,Koei Tecmo Games,2015,39.0,181.0,MetaCritic,PS4,0
Dead or Alive 5: Last Round,69.0,50.0,Koei Tecmo Games,2015,7.0,85.0,MetaCritic,PC,0
Dead or Alive 5: Last Round,75.19,,Koei Tecmo Games,2015,29.0,,GameRankings,PS4,0
Dead or Alive 5: Last Round,69.0,65.0,Koei Tecmo Games,2015,16.0,36.0,MetaCritic,X1,0
Dead or Alive Paradise,37.52,,Tecmo,2010,23.0,,GameRankings,PSP,0
Dead or Alive Ultimate,84.14,,Tecmo,2004,75.0,,GameRankings,XBOX,0
Dead or Alive Xtreme 2,54.35,,Tecmo,2006,44.0,,GameRankings,X360,0
Dead or Alive Xtreme 2,53.0,67.0,Tecmo,2006,46.0,46.0,MetaCritic,X360,0
Dead or Alive Xtreme 3: Fortune,43.0,77.0,Koei Tecmo Games,2016,9.0,138.0,MetaCritic,PS4,0
Dead or Alive: Dimensions,82.02,,Tecmo Koei Games,2011,41.0,,GameRankings,3DS,0
Dead or Alive: Xtreme Beach Volleyball,74.24,,Microsoft,2003,83.0,,GameRankings,XBOX,1
Dead to Rights,75.23,,Electronic Arts,2002,28.0,,GameRankings,GC,1
Dead to Rights,67.0,66.0,Hip Games,2003,11.0,5.0,MetaCritic,PC,0
Dead to Rights,76.01,,Bandi Namco,2002,70.0,,GameRankings,XBOX,1
Dead to Rights,73.53,,Electronic Arts,2002,43.0,,GameRankings,PS2,1
Dead to Rights II,55.42,,Bandi Namco,2005,38.0,,GameRankings,PS2,1
Dead to Rights II,55.34,,Bandi Namco,2005,39.0,,GameRankings,XBOX,1
Dead to Rights: Reckoning,54.08,,Bandi Namco,2005,38.0,,GameRankings,PSP,1
Dead to Rights: Retribution,62.65,,Bandi Namco,2010,33.0,,GameRankings,PS3,1
Dead to Rights: Retribution,63.53,,Bandi Namco,2010,48.0,,GameRankings,X360,1
Dead to Rights: Retribution,61.0,69.0,Bandi Namco,2010,64.0,38.0,MetaCritic,X360,1
Dead to Rights: Retribution,60.0,60.0,Bandi Namco,2010,44.0,28.0,MetaCritic,PS3,1
DeadCore,78.0,68.0,Bandi Namco,2013,11.0,38.0,MetaCritic,PC,1
Deadfall Adventures,53.0,70.0,Nordic Games Publishing,2013,31.0,159.0,MetaCritic,PC,0
Deadfall Adventures,43.0,79.0,Nordic Games Publishing,2013,13.0,102.0,MetaCritic,X360,0
Deadfall Adventures: Heart of Atlantis,46.0,78.0,The Farm 51,2014,4.0,10.0,MetaCritic,PS3,0
Deadliest Catch: Alaskan Storm,56.0,59.0,Navarre Corp,2008,14.0,15.0,MetaCritic,X360,0
Deadliest Warrior: Ancient Combat,37.0,63.0,345 Games,2012,5.0,4.0,MetaCritic,X360,0
Deadliest Warrior: Legends,56.0,56.0,Spike Games,2011,9.0,19.0,MetaCritic,X360,0
Deadliest Warrior: The Game,56.0,77.0,"Pipeworks Software, Inc.",2010,21.0,80.0,MetaCritic,X360,0
Deadlight,68.1,,Microsoft,2012,52.0,,GameRankings,X360,1
Deadlight,68.0,78.0,Microsoft,2012,79.0,211.0,MetaCritic,X360,1
Deadlight,78.0,74.0,Microsoft,2012,7.0,541.0,MetaCritic,PC,1
Deadlight: Director's Cut,70.0,72.0,Deep Silver,2016,28.0,20.0,MetaCritic,PS4,0
Deadlight: Director's Cut,69.0,72.0,Deep Silver,2016,13.0,13.0,MetaCritic,X1,0
Deadly Creatures,73.0,,THQ,2009,40.0,,GameRankings,WII,0
Deadly Dozen,56.0,75.0,Atari,2001,7.0,18.0,MetaCritic,PC,0
Deadly Dozen: Pacific Theater,79.0,79.0,Atari,2002,8.0,7.0,MetaCritic,PC,0
Deadly Premonition,68.0,82.0,Ignition Entertainment,2010,39.0,343.0,MetaCritic,X360,0
Deadly Premonition,69.38,,Marvelous Entertainment,2010,33.0,,GameRankings,X360,0
Deadly Premonition: The Director's Cut,70.0,77.0,Rising Star Games,2013,32.0,139.0,MetaCritic,PS3,0
Deadly Premonition: The Director's Cut,59.0,71.0,Rising Star Games,2013,7.0,104.0,MetaCritic,PC,0
Deadly Premonition: The Director's Cut,71.3,,Marvelous Entertainment,2013,25.0,,GameRankings,PS3,0
Deadpool,65.76,,Activision,2013,34.0,,GameRankings,X360,1
Deadpool,65.62,,Activision,2013,21.0,,GameRankings,PS3,1
Deadpool,63.0,76.0,Activision,2013,15.0,679.0,MetaCritic,PC,1
Deadpool,60.0,60.0,Activision,2015,11.0,91.0,MetaCritic,PS4,1
Deadpool,62.0,74.0,Activision,2013,49.0,371.0,MetaCritic,X360,1
Deadpool,61.0,72.0,Activision,2013,27.0,222.0,MetaCritic,PS3,1
Dear Esther,71.93,,The Chinese Room,2012,29.0,,GameRankings,PC,0
Dear Esther,75.0,65.0,The Chinese Room,2012,37.0,690.0,MetaCritic,PC,0
Dear Esther: Landmark Edition,68.0,67.0,The Chinese Room,2016,21.0,26.0,MetaCritic,PS4,0
Dear Esther: Landmark Edition,68.0,48.0,Curve Digital Games,2016,12.0,14.0,MetaCritic,X1,0
Dear Esther: Landmark Edition,67.86,,Limited Run Games,2016,21.0,,GameRankings,PS4,0
Death By Cube,56.0,55.0,Square Enix,2010,24.0,6.0,MetaCritic,X360,1
Death By Cube,58.26,,Square Enix,2010,23.0,,GameRankings,X360,1
Death Jr.,63.3,,Konami,2005,49.0,,GameRankings,PSP,1
Death Jr. II: Root of Evil,70.36,,Konami,2006,36.0,,GameRankings,PSP,1
Death Jr. and the Science Fair of Doom,50.42,,Konami,2007,26.0,,GameRankings,DS,1
Death Rally (2012),62.0,56.0,Nordic Games Publishing,2012,11.0,54.0,MetaCritic,PC,0
Death Road to Canada,73.0,79.0,Rocketcat Games,2016,5.0,13.0,MetaCritic,PC,0
Death Tank,66.0,70.0,Microsoft,2009,19.0,25.0,MetaCritic,X360,1
Death Track Racing,73.0,80.0,Take-Two Interactive,2000,7.0,4.0,MetaCritic,PC,1
Death Track: Resurrection,53.0,35.0,Aspyr,2009,10.0,14.0,MetaCritic,PC,0
Death by Degrees,52.2,,Bandi Namco,2005,50.0,,GameRankings,PS2,1
Death to Spies,69.0,77.0,Atari,2007,14.0,33.0,MetaCritic,PC,0
Death to Spies: Moment of Truth,73.0,83.0,1C,2009,6.0,31.0,MetaCritic,PC,0
DeathSmiles,78.0,78.0,Degica,2016,10.0,6.0,MetaCritic,PC,0
DeathSpank,79.0,82.0,Electronic Arts,2010,59.0,100.0,MetaCritic,X360,1
DeathSpank,77.0,79.0,Hothead Games,2010,11.0,74.0,MetaCritic,PC,0
DeathSpank,80.17,,Electronic Arts,2010,36.0,,GameRankings,X360,1
DeathSpank,79.86,,Electronic Arts,2010,29.0,,GameRankings,PS3,1
DeathSpank,79.0,77.0,Electronic Arts,2010,47.0,126.0,MetaCritic,PS3,1
DeathSpank: Thongs of Virtue,78.0,81.0,Electronic Arts,2011,21.0,19.0,MetaCritic,X360,1
DeathSpank: Thongs of Virtue,78.0,79.0,Electronic Arts,2010,23.0,19.0,MetaCritic,PS3,1
DeathSpank: Thongs of Virtue,78.0,79.0,Electronic Arts,2010,9.0,21.0,MetaCritic,PC,1
Deathrow,81.33,,Ubisoft,2002,47.0,,GameRankings,XBOX,1
Deathsmiles,76.0,84.0,Aksys Games,2010,29.0,46.0,MetaCritic,X360,0
Deathtrap,77.0,80.0,NeocoreGames,2015,26.0,66.0,MetaCritic,PC,0
Deca Sports,53.04,,Konami,2008,24.0,,GameRankings,WII,1
Deca Sports Freedom,26.0,37.0,Hudson Entertainment,2010,16.0,9.0,MetaCritic,X360,0
Decay: The Mare,60.0,60.0,Daedalic Entertainment,2015,6.0,10.0,MetaCritic,PC,0
Deception IV: Blood Ties,70.0,80.0,Tecmo Koei America Corp.,2014,19.0,28.0,MetaCritic,PS3,0
Deception IV: The Nightmare Princess,69.0,73.0,Koei Tecmo Games,2015,33.0,26.0,MetaCritic,PS4,0
Deception IV: The Nightmare Princess,71.52,,Koei Tecmo Games,2015,23.0,,GameRankings,PS4,0
Deep Black,47.0,20.0,Strategy First,2012,4.0,17.0,MetaCritic,PC,0
Deep Black: Episode 1,47.0,54.0,505 Games,2012,8.0,11.0,MetaCritic,X360,0
Deep Black: Reloaded,39.0,41.0,Strategy First,2012,20.0,36.0,MetaCritic,PC,0
Deep Labyrinth,55.26,,505 Game Street,2006,20.0,,GameRankings,DS,0
Def Jam Rapstar,75.0,66.0,Konami,2010,25.0,5.0,MetaCritic,PS3,1
Def Jam Rapstar,75.8,,Konami,2010,25.0,,GameRankings,X360,1
Def Jam Rapstar,74.0,54.0,Konami,2010,36.0,9.0,MetaCritic,X360,1
Def Jam Vendetta,83.51,,Electronic Arts,2003,34.0,,GameRankings,GC,1
Def Jam Vendetta,80.54,,Electronic Arts,2003,42.0,,GameRankings,PS2,1
Def Jam: Fight for NY,84.43,,Electronic Arts,2004,38.0,,GameRankings,GC,1
Def Jam: Fight for NY,83.49,,Electronic Arts,2004,56.0,,GameRankings,XBOX,1
Def Jam: Fight for NY,83.83,,Electronic Arts,2004,45.0,,GameRankings,PS2,1
Def Jam: Fight for NY: The Takeover,79.03,,Electronic Arts,2006,28.0,,GameRankings,PSP,1
Def Jam: Icon,67.41,,Electronic Arts,2007,39.0,,GameRankings,PS3,1
Def Jam: Icon,69.61,,Electronic Arts,2007,49.0,,GameRankings,X360,1
Def Jam: Icon,69.0,62.0,Electronic Arts,2007,48.0,109.0,MetaCritic,X360,1
Def Jam: Icon,68.0,42.0,Electronic Arts,2007,38.0,42.0,MetaCritic,PS3,1
Defend Your Castle,67.05,,XGenStudios,2008,20.0,,GameRankings,WII,0
Defender,73.52,,Midway,2002,33.0,,GameRankings,PS2,0
Defender,66.47,,Midway,2002,28.0,,GameRankings,XBOX,0
Defender,67.94,,Midway,2002,21.0,,GameRankings,GC,0
Defenders of Ardania,55.65,,Paradox Interactive,2012,23.0,,GameRankings,X360,0
Defenders of Ardania,58.0,46.0,Paradox Interactive,2012,17.0,28.0,MetaCritic,PC,0
Defenders of Ardania,52.0,77.0,Paradox Interactive,2012,19.0,7.0,MetaCritic,X360,0
Defense Grid: The Awakening,84.45,,Hidden Path Entertainment,2009,22.0,,GameRankings,X360,0
Defense Grid: The Awakening,82.0,73.0,Hidden Path Entertainment,2009,23.0,40.0,MetaCritic,X360,0
Defense Grid: The Awakening,81.0,88.0,Aspyr,2008,11.0,270.0,MetaCritic,PC,0
Defense Technica,63.0,81.0,Devolver Digital,2013,15.0,18.0,MetaCritic,PC,0
Defiance,59.0,68.0,Trion Worlds,2013,21.0,145.0,MetaCritic,PS3,0
Defiance,63.05,,Trion Worlds,2013,22.0,,GameRankings,X360,0
Defiance,64.0,66.0,Trion Worlds,2013,40.0,657.0,MetaCritic,PC,0
Defiance,60.0,72.0,Trion Worlds,2013,27.0,249.0,MetaCritic,X360,0
Defiance,65.81,,Trion Worlds,2013,21.0,,GameRankings,PC,0
Delta Force: Black Hawk Down,63.69,,NovaLogic,2005,40.0,,GameRankings,XBOX,0
Delta Force: Black Hawk Down,56.17,,NovaLogic,2005,26.0,,GameRankings,PS2,0
Delta Force: Black Hawk Down,76.15,,NovaLogic,2003,39.0,,GameRankings,PC,0
Delta Force: Black Hawk Down,77.0,80.0,NovaLogic,2003,26.0,78.0,MetaCritic,PC,0
Delta Force: Black Hawk Down - Team Sabre,66.35,,NovaLogic,2004,20.0,,GameRankings,PC,0
Delta Force: Black Hawk Down - Team Sabre,70.0,78.0,NovaLogic,2004,17.0,30.0,MetaCritic,PC,0
Delta Force: Land Warrior,74.0,77.0,NovaLogic,2000,22.0,47.0,MetaCritic,PC,0
Delta Force: Land Warrior,71.93,,NovaLogic,2000,27.0,,GameRankings,PC,0
Delta Force: Task Force Dagger,51.0,75.0,NovaLogic,2002,8.0,22.0,MetaCritic,PC,0
Delta Force: Xtreme,65.0,57.0,NovaLogic,2005,9.0,22.0,MetaCritic,PC,0
Delta Force: Xtreme 2,40.0,50.0,NovaLogic,2009,7.0,50.0,MetaCritic,PC,0
Dementium II,74.6,,SouthPeak Games,2010,20.0,,GameRankings,DS,0
Dementium II,37.0,49.0,SouthPeak Games,2013,5.0,28.0,MetaCritic,PC,0
Dementium: The Ward,72.75,,Gamecock Media Group,2007,42.0,,GameRankings,DS,0
Demetrios - The BIG Cynical Adventure,72.0,76.0,COWCAT,2016,14.0,14.0,MetaCritic,PC,0
Demigod,76.0,78.0,Stardock,2009,50.0,187.0,MetaCritic,PC,0
Demigod,78.34,,Stardock,2009,35.0,,GameRankings,PC,0
Democracy,62.0,48.0,Tri Synergy,2005,7.0,6.0,MetaCritic,PC,0
Democracy 3,70.0,71.0,Positech Games,2013,14.0,140.0,MetaCritic,PC,0
Demolition Racer: No Exit,76.39,,Infogrames,2000,23.0,,GameRankings,DC,0
Demon Gaze,70.66,,Kadokawa,2014,32.0,,GameRankings,VITA,0
Demon Gaze II,74.0,67.0,NIS America,2017,16.0,11.0,MetaCritic,PS4,0
Demon's Souls,89.72,,SCEI,2009,60.0,,GameRankings,PS3,0
Demon's Souls,89.0,89.0,Atlus,2009,81.0,1586.0,MetaCritic,PS3,0
Dengeki Bunko: Fighting Climax,66.0,82.0,Sega,2015,13.0,31.0,MetaCritic,PS3,0
Deponia,74.0,81.0,Daedalic Entertainment,2012,33.0,332.0,MetaCritic,PC,0
Deponia,71.0,62.0,THQ Nordic,2016,9.0,12.0,MetaCritic,PS4,0
Deponia Doomsday,76.0,70.0,Daedalic Entertainment,2016,29.0,73.0,MetaCritic,PC,0
Depth,65.0,80.0,Digital Confectioners,2014,7.0,108.0,MetaCritic,PC,0
Depths of Fear: Knossos,48.0,51.0,Digital Tribe,2014,5.0,12.0,MetaCritic,PC,0
Depths of Peril,79.0,80.0,Soldak Entertainment,2007,6.0,31.0,MetaCritic,PC,0
Derrick the Deathfin,72.0,81.0,Different Tuna,2012,8.0,13.0,MetaCritic,PS3,0
Descent 3,89.0,83.0,Interplay,2000,14.0,39.0,MetaCritic,PC,0
Descent 3,84.36,,Interplay,2000,25.0,,GameRankings,PC,0
Descent II,89.0,88.0,Interplay,1996,6.0,43.0,MetaCritic,PC,0
Desert Rats vs. Afrika Korps,72.82,,Digital Jesters,2004,34.0,,GameRankings,PC,0
Desert Rats vs. Afrika Korps,70.0,75.0,"Encore Software, Inc.",2004,29.0,8.0,MetaCritic,PC,0
Desktop Dungeons,82.0,82.0,QCF Design,2010,12.0,58.0,MetaCritic,PC,0
Desperados 2: Cooper's Revenge,66.0,68.0,Atari,2006,13.0,28.0,MetaCritic,PC,0
Desperados: Wanted Dead or Alive,80.06,,Infogrames,2001,26.0,,GameRankings,PC,0
Desperados: Wanted Dead or Alive,78.0,88.0,Infogrames,2001,12.0,113.0,MetaCritic,PC,0
Desperate Housewives: The Game,61.0,64.0,Buena Vista Games,2006,14.0,14.0,MetaCritic,PC,0
Destination: Treasure Island,74.0,77.0,Dreamcatcher,2007,11.0,6.0,MetaCritic,PC,0
Destiny,76.0,61.0,Activision,2014,95.0,5400.0,MetaCritic,PS4,1
Destiny,76.83,,Activision,2014,64.0,,GameRankings,PS4,1
Destiny,75.0,55.0,Activision,2014,11.0,1736.0,MetaCritic,X1,1
Destiny 2,83.0,35.0,Activision,2017,36.0,851.0,MetaCritic,PC,1
Destiny 2,85.0,49.0,Activision,2017,95.0,1905.0,MetaCritic,PS4,1
Destiny 2,84.88,,Activision,2017,57.0,,GameRankings,PS4,1
Destiny 2,87.0,43.0,Activision,2017,22.0,499.0,MetaCritic,X1,1
Destiny 2: Curse of Osiris,57.0,10.0,Activision,2017,9.0,70.0,MetaCritic,X1,1
Destiny 2: Curse of Osiris,61.0,12.0,Activision,2017,9.0,133.0,MetaCritic,PC,1
Destiny 2: Curse of Osiris,57.0,14.0,Activision,2017,28.0,528.0,MetaCritic,PS4,1
Destiny: House of Wolves,71.0,41.0,Activision,2015,4.0,56.0,MetaCritic,X1,1
Destiny: House of Wolves,72.0,42.0,Activision,2015,31.0,231.0,MetaCritic,PS4,1
Destiny: Rise of Iron,73.0,34.0,Activision,2016,16.0,74.0,MetaCritic,X1,1
Destiny: Rise of Iron,72.0,48.0,Activision,2016,66.0,276.0,MetaCritic,PS4,1
Destiny: Rise of Iron,72.2,,Activision,2016,44.0,,GameRankings,PS4,1
Destiny: The Dark Below,63.0,30.0,Activision,2014,41.0,272.0,MetaCritic,PS4,1
Destiny: The Dark Below,59.0,29.0,Activision,2014,4.0,47.0,MetaCritic,X1,1
Destiny: The Dark Below,62.62,,Activision,2014,26.0,,GameRankings,PS4,1
Destiny: The Taken King,86.0,62.0,Activision,2015,81.0,1082.0,MetaCritic,PS4,1
Destiny: The Taken King,86.04,,Activision,2015,54.0,,GameRankings,PS4,1
Destiny: The Taken King,89.0,51.0,Activision,2015,11.0,406.0,MetaCritic,X1,1
Destroy All Humans!,76.04,,THQ,2005,56.0,,GameRankings,PS2,0
Destroy All Humans!,76.98,,THQ,2005,64.0,,GameRankings,XBOX,0
Destroy All Humans! 2,75.75,,THQ,2006,38.0,,GameRankings,PS2,0
Destroy All Humans! 2,76.61,,THQ,2006,36.0,,GameRankings,XBOX,0
Destroy All Humans! Big Willy Unleashed,53.42,,THQ,2008,45.0,,GameRankings,WII,0
Destroy All Humans! Path of the Furon,34.0,66.0,THQ,2008,27.0,52.0,MetaCritic,X360,0
Destroy All Humans! Path of the Furon,38.41,,THQ,2008,22.0,,GameRankings,X360,0
Destroyer Command,51.0,74.0,Ubisoft,2002,11.0,5.0,MetaCritic,PC,1
Destruction Derby Arenas,60.83,,SCEE,2004,45.0,,GameRankings,PS2,0
Destruction Derby Raw,72.75,,SCEE,2000,20.0,,GameRankings,PS,0
Detective Hayseed: Hollywood,53.0,73.0,mamor games,2016,5.0,6.0,MetaCritic,PC,0
Detention,83.0,78.0,Red Candle Game,2017,18.0,59.0,MetaCritic,PC,0
Detention,84.0,77.0,Coconut Island Games,2017,11.0,15.0,MetaCritic,PS4,0
Deus Ex,91.03,,Eidos Interactive,2000,31.0,,GameRankings,PC,0
Deus Ex,90.0,92.0,Eidos Interactive,2000,28.0,1137.0,MetaCritic,PC,0
Deus Ex GO,81.32,,Square Enix,2016,20.0,,GameRankings,IOS,1
Deus Ex: Human Revolution,89.57,,Square Enix,2011,68.0,,GameRankings,X360,1
Deus Ex: Human Revolution,90.0,85.0,Eidos Interactive,2011,52.0,3212.0,MetaCritic,PC,0
Deus Ex: Human Revolution,90.19,,Square Enix,2011,26.0,,GameRankings,PC,1
Deus Ex: Human Revolution,89.0,83.0,Square Enix,2011,70.0,707.0,MetaCritic,X360,1
Deus Ex: Human Revolution,89.89,,Square Enix,2011,36.0,,GameRankings,PS3,1
Deus Ex: Human Revolution,89.0,82.0,Square Enix,2011,50.0,704.0,MetaCritic,PS3,1
Deus Ex: Human Revolution - Director's Cut,91.0,85.0,Square Enix,2013,4.0,462.0,MetaCritic,PC,1
Deus Ex: Human Revolution - Director's Cut,89.3,,Square Enix,2013,23.0,,GameRankings,WIIU,1
Deus Ex: Human Revolution - The Missing Link,78.43,,Square Enix,2011,21.0,,GameRankings,X360,1
Deus Ex: Human Revolution - The Missing Link,78.0,72.0,Square Enix,2011,10.0,22.0,MetaCritic,PS3,1
Deus Ex: Human Revolution - The Missing Link,73.0,74.0,Square Enix,2011,14.0,214.0,MetaCritic,PC,1
Deus Ex: Human Revolution - The Missing Link,76.0,69.0,Square Enix,2011,18.0,25.0,MetaCritic,X360,1
Deus Ex: Invisible War,85.36,,Eidos Interactive,2003,68.0,,GameRankings,XBOX,0
Deus Ex: Invisible War,80.0,64.0,Eidos Interactive,2003,44.0,283.0,MetaCritic,PC,0
Deus Ex: Invisible War,83.65,,Eidos Interactive,2003,49.0,,GameRankings,PC,0
Deus Ex: Mankind Divided,83.0,73.0,Square Enix,2016,18.0,206.0,MetaCritic,X1,1
Deus Ex: Mankind Divided,81.96,,Square Enix,2016,35.0,,GameRankings,PC,1
Deus Ex: Mankind Divided,83.75,,Square Enix,2016,36.0,,GameRankings,PS4,1
Deus Ex: Mankind Divided,84.0,76.0,Square Enix,2016,59.0,697.0,MetaCritic,PS4,1
Deus Ex: Mankind Divided,83.0,65.0,Square Enix,2016,56.0,914.0,MetaCritic,PC,1
Deus Ex: Mankind Divided - A Criminal Past,73.0,65.0,Square Enix,2017,5.0,6.0,MetaCritic,PC,1
Deus Ex: Mankind Divided - A Criminal Past,81.0,67.0,Square Enix,2017,7.0,23.0,MetaCritic,PS4,1
Deus Ex: Mankind Divided - System Rift,75.0,70.0,Square Enix,2016,11.0,10.0,MetaCritic,PS4,1
Deus Ex: The Conspiracy,82.97,,Eidos Interactive,2002,52.0,,GameRankings,PS2,0
Deus Ex: The Fall,70.06,,Square Enix,2013,24.0,,GameRankings,IOS,1
Deus Ex: The Fall,45.0,29.0,Square Enix,2014,14.0,161.0,MetaCritic,PC,1
Devastation,64.17,,Arush Entertainment,2003,35.0,,GameRankings,PC,0
Devastation,62.0,58.0,Arush Entertainment,2003,20.0,17.0,MetaCritic,PC,0
Devil Daggers,83.0,70.0,Sorath,2016,20.0,62.0,MetaCritic,PC,0
Devil Kings,65.09,,Capcom,2005,38.0,,GameRankings,PS2,0
Devil May Cry,92.6,,Capcom,2001,70.0,,GameRankings,PS2,0
Devil May Cry 2,73.56,,Capcom,2003,65.0,,GameRankings,PS2,0
Devil May Cry 3: Dante's Awakening,84.11,,Capcom,2005,70.0,,GameRankings,PS2,0
Devil May Cry 3: Special Edition,88.0,,Capcom,2006,33.0,,GameRankings,PS2,0
Devil May Cry 3: Special Edition,66.0,82.0,Ubisoft,2006,8.0,209.0,MetaCritic,PC,1
Devil May Cry 4,84.0,80.0,Capcom,2008,61.0,264.0,MetaCritic,X360,0
Devil May Cry 4,84.0,82.0,Capcom,2008,63.0,344.0,MetaCritic,PS3,0
Devil May Cry 4,78.0,85.0,Capcom,2008,21.0,377.0,MetaCritic,PC,0
Devil May Cry 4,83.26,,Capcom,2008,61.0,,GameRankings,X360,0
Devil May Cry 4,84.13,,Capcom,2008,55.0,,GameRankings,PS3,0
Devil May Cry 4: Special Edition,76.0,,Capcom,2015,27.0,,GameRankings,XONE,0
Devil May Cry 4: Special Edition,72.0,86.0,Capcom,2015,11.0,121.0,MetaCritic,PC,0
Devil May Cry 4: Special Edition,75.0,80.0,Capcom,2015,28.0,213.0,MetaCritic,PS4,0
Devil May Cry 4: Special Edition,76.0,84.0,Capcom,2015,31.0,97.0,MetaCritic,X1,0
Devil May Cry HD Collection,72.0,64.0,Capcom,2018,6.0,15.0,MetaCritic,X1,0
Devil May Cry HD Collection,77.0,85.0,Capcom,2012,32.0,106.0,MetaCritic,X360,0
Devil May Cry HD Collection,77.21,,Capcom,2012,29.0,,GameRankings,X360,0
Devil May Cry HD Collection,74.0,86.0,Capcom,2012,27.0,173.0,MetaCritic,PS3,0
Devil May Cry HD Collection,60.0,58.0,Capcom,2018,25.0,40.0,MetaCritic,PS4,0
Devil's Third,43.56,,Nintendo,2015,32.0,,GameRankings,WIIU,1
Devilian,63.0,61.0,Trion Worlds,2015,6.0,30.0,MetaCritic,PC,0
Dewy's Adventure,66.83,,Konami,2007,30.0,,GameRankings,WII,1
Dex,69.0,82.0,Dreadlocks Ltd,2016,5.0,5.0,MetaCritic,X1,0
Dex,67.0,74.0,Dreadlocks Ltd,2016,10.0,12.0,MetaCritic,PS4,0
Dex,62.0,79.0,Dreadlocks Ltd,2014,16.0,66.0,MetaCritic,PC,0
DiRT,83.0,73.0,Codemasters,2007,59.0,96.0,MetaCritic,X360,0
DiRT,84.36,,Codemasters,2007,21.0,,GameRankings,PC,0
DiRT,83.49,,Codemasters,2007,74.0,,GameRankings,X360,0
DiRT,83.17,,Codemasters,2007,37.0,,GameRankings,PS3,0
DiRT,84.0,73.0,Codemasters,2007,20.0,98.0,MetaCritic,PC,0
DiRT,83.0,81.0,Codemasters,2007,32.0,35.0,MetaCritic,PS3,0
DiRT 2,87.36,,Codemasters,2009,50.0,,GameRankings,X360,0
DiRT 2,87.28,,Codemasters,2009,46.0,,GameRankings,PS3,0
DiRT 2,87.0,82.0,Codemasters,2009,63.0,96.0,MetaCritic,PS3,0
DiRT 2,89.0,82.0,Codemasters,2009,22.0,373.0,MetaCritic,PC,0
DiRT 2,87.0,81.0,Codemasters,2009,65.0,111.0,MetaCritic,X360,0
DiRT 3,87.57,,Codemasters,2011,36.0,,GameRankings,PS3,0
DiRT 3,87.96,,Codemasters,2011,61.0,,GameRankings,X360,0
DiRT 3,86.0,70.0,Codemasters,2011,23.0,468.0,MetaCritic,PC,0
DiRT 3,87.0,70.0,Codemasters,2011,52.0,123.0,MetaCritic,PS3,0
DiRT 3,87.0,70.0,Codemasters,2011,81.0,169.0,MetaCritic,X360,0
DiRT 4,85.0,76.0,Deep Silver,2017,44.0,121.0,MetaCritic,PS4,0
DiRT 4,78.0,58.0,Codemasters,2017,15.0,73.0,MetaCritic,PC,0
DiRT 4,86.0,66.0,Deep Silver,2017,21.0,44.0,MetaCritic,X1,0
DiRT 4,85.17,,Codemasters,2017,23.0,,GameRankings,PS4,0
DiRT Rally,86.0,80.0,Codemasters,2016,17.0,74.0,MetaCritic,X1,0
DiRT Rally,85.0,80.0,Codemasters,2016,46.0,242.0,MetaCritic,PS4,0
DiRT Rally,86.0,87.0,Codemasters,2015,33.0,334.0,MetaCritic,PC,0
DiRT Rally,84.87,,Codemasters,2016,24.0,,GameRankings,PS4,0
DiRT Showdown,72.0,57.0,Codemasters,2012,11.0,179.0,MetaCritic,PC,0
DiRT Showdown,75.0,65.0,Codemasters,2012,53.0,56.0,MetaCritic,X360,0
DiRT Showdown,74.73,,Codemasters,2012,37.0,,GameRankings,X360,0
DiRT Showdown,75.0,64.0,Codemasters,2012,27.0,44.0,MetaCritic,PS3,0
Diablo,94.0,87.0,Activision,1996,12.0,921.0,MetaCritic,PC,1
Diablo II,88.0,88.0,Activision,2000,34.0,1144.0,MetaCritic,PC,1
Diablo II,88.58,,Activision,2000,49.0,,GameRankings,PC,1
Diablo II: Lord of Destruction,85.94,,Sierra Entertainment,2001,34.0,,GameRankings,PC,0
Diablo II: Lord of Destruction,87.0,90.0,Activision,2001,21.0,697.0,MetaCritic,PC,1
Diablo III,87.12,,Activision,2013,26.0,,GameRankings,X360,1
Diablo III,87.64,,Activision,2012,58.0,,GameRankings,PC,1
