game,AAA,critics,user,year
Castlevania: Circle of the Moon,1,88.11,0.0,2001
Castlevania: Curse of Darkness,1,70.37,0.0,2005
Castlevania: Dawn of Sorrow,1,90.35,0.0,2005
Castlevania: Harmony of Despair,1,67.0,68.0,2010
Castlevania: Harmony of Dissonance,1,85.12,0.0,2002
Castlevania: Lament of Innocence,1,78.72,0.0,2003
Castlevania: Lords of Shadow,1,83.0,80.0,2010
Castlevania: Lords of Shadow - Mirror of Fate,1,71.81,0.0,2013
Castlevania: Lords of Shadow - Mirror of Fate HD,1,73.0,71.0,2013
Castlevania: Lords of Shadow - Reverie,1,68.0,31.0,2011
Castlevania: Lords of Shadow 2,1,63.0,78.0,2014
Castlevania: Lords of Shadow 2 - Revelations,1,66.0,62.0,2014
Castlevania: Lords of Shadow Ultimate Edition,1,81.0,74.0,2013
Castlevania: Order of Ecclesia,1,85.67,0.0,2008
Castlevania: Portrait of Ruin,1,84.98,0.0,2006
Castlevania: Symphony of the Night,1,89.58,86.0,2007
Castlevania: The Adventure ReBirth,1,81.1,0.0,2009
Castlevania: The Dracula X Chronicles,1,81.4,0.0,2007
Cat Quest,0,79.0,80.0,2017
Catan,1,81.0,80.0,2007
Catherine,0,79.0,81.0,2011
Catlateral Damage,0,57.0,53.0,2016
Catwoman,1,47.57,0.0,2004
Catwoman (2004),1,46.0,39.0,2004
Cave Story 3D,0,83.04,0.0,2011
Cave Story Plus,0,83.0,83.0,2011
Cel Damage,1,66.02,0.0,2001
Cel Damage HD,0,58.0,61.0,2014
Celeste,0,88.0,69.0,2018
CellFactor: Psychokinetic Wars,1,70.0,84.0,2009
CellFactor: Revolution,0,50.0,54.0,2007
Celtic Kings: Rage of War,0,82.0,82.0,2002
Centipede & Millipede,0,55.0,66.0,2007
Ceville,0,73.0,82.0,2009
Chambara,0,71.0,60.0,2016
Champions Online,0,72.0,62.0,2009
Champions of Anteria,1,67.0,71.0,2016
Champions of Norrath,1,85.17,0.0,2004
Champions: Return to Arms,1,76.55,0.0,2005
Championship Manager 2008,0,68.0,68.0,2007
Chantelise: A Tale of Two Sisters,0,62.0,70.0,2011
Chaos Code,0,61.0,49.0,2013
Chaos Legion,0,67.26,70.0,2003
Chaos Overlords,0,70.0,80.0,1996
Chaos Reborn,0,85.0,84.0,2015
Chaos on Deponia,0,78.0,83.0,2012
Chaos;Child,0,76.0,68.0,2017
Chaotic: Shadow Warriors,1,60.0,50.0,2009
Chariot,0,73.0,76.0,2014
Charlie Murder,1,78.0,67.0,2013
Charlie and the Chocolate Factory,0,40.7,26.0,2005
Charlie's Angels,1,23.74,0.0,2003
Chase: Hollywood Stunt Driver,0,67.35,0.0,2002
Chaser (2003),0,70.04,0.0,2003
Check vs Mate,0,69.0,59.0,2012
Chess 2: The Sequel,0,62.0,75.0,2014
Chessmaster 10th Edition,1,81.0,74.0,2004
Chessmaster 8000,0,80.0,64.0,2000
Chessmaster 9000,1,81.0,77.0,2002
Chessmaster LIVE,1,76.0,69.0,2008
Chessmaster: Grandmaster Edition,1,73.0,71.0,2007
Chibi-Robo!,1,79.33,0.0,2006
Chibi-Robo! Zip Lash,1,60.27,0.0,2015
Child of Eden,1,84.0,77.0,2011
Child of Light,1,82.0,80.0,2014
Children of Mana,1,67.73,0.0,2006
Children of Zodiarcs,0,81.0,53.0,2017
Chili Con Carnage,0,74.71,0.0,2007
Chime,0,79.0,79.0,2010
Chime Sharp,0,85.0,29.0,2017
Chime Super Deluxe,0,78.0,76.0,2011
Chivalry: Deadliest Warrior,0,69.0,75.0,2013
Chivalry: Medieval Warfare,1,79.0,78.0,2012
Chocobo Racing,0,62.13,0.0,1999
Choplifter HD,0,65.0,66.0,2012
ChoroQ,0,55.66,0.0,2004
Chris Sawyer's Locomotion,0,59.0,56.0,2004
Chroma Squad,0,75.0,79.0,2015
ChromaGun,0,74.0,55.0,2017
Chrome,0,69.43,67.0,2003
Chrome SpecForce,0,62.0,71.0,2005
Chromehounds,0,72.02,70.0,2006
Chronicle: RuneScape Legends,0,76.0,69.0,2016
Chronicles of Mystery: The Scorpio Ritual,0,62.0,56.0,2008
Chronicles of Teddy: Harmony of Exidus,0,79.0,69.0,2016
Chrono Cross,0,92.28,0.0,2000
Chrono Trigger,1,91.98,0.0,2008
Chronology,0,64.0,68.0,2014
Chronos,0,77.0,87.0,2016
ChuChu Rocket!,0,85.62,0.0,2001
Chuck's Challenge 3D,0,61.0,82.0,2013
Cibele,0,71.0,38.0,2015
Circa Infinity,0,80.0,86.0,2015
Circle of Blood,0,80.0,86.0,1996
Circus Maximus: Chariot Wars,0,63.25,0.0,2002
Citadels,0,20.0,14.0,2013
Cities XL,0,69.0,40.0,2009
Cities XL 2011,0,70.0,57.0,2010
Cities XL 2012,0,61.0,56.0,2011
Cities XXL,0,47.0,17.0,2015
Cities in Motion,0,70.0,78.0,2011
Cities in Motion 2,0,72.0,73.0,2013
Cities: Skylines,0,85.0,89.0,2015
Cities: Skylines - After Dark,0,79.0,78.0,2015
Cities: Skylines - Mass Transit,0,78.0,88.0,2017
Cities: Skylines - Natural Disaster,0,80.0,63.0,2016
Cities: Skylines - PlayStation 4 Edition,0,81.0,79.0,2017
Cities: Skylines - Snowfall,0,72.0,66.0,2016
Cities: Skylines - Xbox One Edition,0,81.0,60.0,2017
Citizens of Earth,0,66.0,64.0,2015
City Crisis,1,63.11,0.0,2001
City Life,0,76.22,74.0,2006
City Life 2008 Edition,0,66.0,76.0,2008
City Life: World Edition,0,75.0,82.0,2007
City of Heroes,0,85.0,84.0,2004
City of Villains,0,82.44,79.0,2005
Cityconomy,0,35.0,45.0,2015
CivCity: Rome,0,68.76,69.0,2006
Civilization II,0,94.0,90.0,1996
Civilization III: Conquests,0,86.0,83.0,2003
Civilization III: Play the World,0,61.0,66.0,2002
Civilization Revolution 2,0,65.78,0.0,2014
ClaDun Returns: This is Sengoku!,0,73.0,61.0,2017
Claire: Extended Cut,0,67.0,68.0,2016
Clan of Champions,0,42.0,41.0,2012
Clandestine,0,69.0,78.0,2015
Clannad,0,83.0,86.0,2015
Clash of the Titans,1,42.0,40.0,2010
Classic NES Series: Donkey Kong,1,63.69,0.0,2004
Classic NES Series: Super Mario Bros.,1,80.2,0.0,2004
Classic NES Series: The Legend of Zelda,1,79.02,0.0,2004
Cleopatra: Queen of the Nile,0,77.0,79.0,2000
Clive Barker's Jericho,0,65.69,75.0,2007
Clive Barker's Undying,1,84.35,88.0,2001
Clock Tower 3,0,70.18,0.0,2003
Clockwork Empires,0,58.0,38.0,2016
Cloning Clyde,0,80.0,80.0,2006
Close Combat: First to Fight,0,70.14,53.0,2005
Close Combat: Invasion: Normandy,0,79.0,81.0,2000
Closure,0,81.0,66.0,2009
Cloud Chamber,0,74.0,73.0,2014
Cloudberry Kingdom,1,68.0,70.0,2013
Cloudbuilt,0,72.0,77.0,2014
Cloudy With a Chance of Meatballs,1,62.0,63.0,2009
Clubhouse Games,1,82.98,0.0,2006
Clusterball,0,62.0,83.0,2000
Clustertruck,0,76.0,72.0,2016
Clutch,0,51.0,71.0,2009
Coast Guard,0,47.0,38.0,2015
Cobalt,0,69.0,68.0,2016
Code Name: S.T.E.A.M.,1,68.62,0.0,2015
Code of Honor 2: Conspiracy Island,0,32.0,49.0,2008
Code of Princess,0,69.14,43.0,2016
Coded Arms,1,60.28,0.0,2005
Coded Arms: Contagion,1,59.01,0.0,2007
Codename Panzers: Cold War,0,67.0,58.0,2009
Codename: Outbreak,0,62.73,82.0,2001
"Codename: Panzers, Phase One",0,81.65,88.0,2004
"Codename: Panzers, Phase Two",0,80.0,81.0,2005
Coffee Tycoon,0,39.0,47.0,2006
Coffeetime Crosswords,1,39.0,34.0,2008
Coffin Dodgers,0,46.0,43.0,2016
Cognition: An Erica Reed Thriller Episode 1 - The Hangman,0,72.0,68.0,2012
Cognition: An Erica Reed Thriller Episode 2 - The Wise Monkey,0,72.0,75.0,2013
Cognition: An Erica Reed Thriller Episode 3 - The Oracle,0,77.0,75.0,2013
Cognition: An Erica Reed Thriller Episode 4 - The Cain Killer,0,70.0,70.0,2013
Cogs,0,73.0,75.0,2009
Cold Fear,1,69.73,76.0,2005
Cold Iron,0,75.0,75.0,2018
Cold War,0,61.19,60.0,2005
Cold Winter,0,75.11,0.0,2005
Cold Zero: No Mercy,0,63.23,85.0,2003
Colin McRae Rally 04,0,85.47,72.0,2004
Colin McRae Rally 2.0,0,88.82,84.0,2001
Colin McRae Rally 2005,0,83.98,73.0,2004
Colin McRae Rally 3,0,86.01,0.0,2003
Coliseum,0,32.0,80.0,2004
College Hoops 2K6,0,70.0,73.0,2006
College Hoops 2K7,0,82.0,82.0,2006
College Hoops 2K8,0,81.0,69.0,2007
Color Guardians,0,62.0,61.0,2015
Colosseum: Road to Freedom,0,59.58,0.0,2005
Colour Bind,0,66.0,68.0,2012
Comanche 4,0,79.1,76.0,2001
Combat Arms,0,71.0,49.0,2008
Combat Flight Simulator 2: WWII Pacific Theater,1,82.77,81.0,2000
Combat Flight Simulator 3: Battle for Europe,1,72.59,65.0,2002
Combat Medic: Special Operations,0,37.0,35.0,2002
Combat Mission 3: Afrika Korps,0,81.0,84.0,2003
Combat Mission Anthology,1,79.0,71.0,2006
Combat Mission: Barbarossa to Berlin,0,89.0,84.0,2002
Combat Mission: Battle for Normandy,0,81.0,54.0,2011
Combat Mission: Shock Force,0,62.0,33.0,2007
Combat: Task Force 121,0,40.0,63.0,2005
Comet Crash,0,83.0,73.0,2009
Comic Jumper: The Adventures of Captain Smiley,0,74.0,68.0,2010
Comix Zone,0,71.0,85.0,2009
Command & Conquer,0,94.0,89.0,1995
Command & Conquer 3: Kane's Wrath,1,77.0,82.0,2008
Command & Conquer 3: Tiberium Wars,1,85.72,80.0,2007
Command & Conquer 4: Tiberian Twilight,1,64.0,21.0,2010
Command & Conquer: Generals,1,85.15,83.0,2003
Command & Conquer: Generals - Zero Hour,1,84.26,90.0,2003
Command & Conquer: Red Alert,0,90.0,88.0,1996
Command & Conquer: Red Alert 2,1,86.29,89.0,2000
Command & Conquer: Red Alert 2 - Yuri's Revenge,1,85.08,89.0,2001
Command & Conquer: Red Alert 3,1,82.0,68.0,2008
Command & Conquer: Red Alert 3 - Commander's Challenge,1,72.0,68.0,2009
Command & Conquer: Red Alert 3 - Uprising,1,64.0,68.0,2009
Command & Conquer: Renegade,1,75.19,80.0,2002
Command & Conquer: The First Decade,1,71.0,87.0,2006
Command & Conquer: Tiberian Sun,0,79.68,0.0,1999
Command & Conquer: Tiberian Sun - Firestorm,0,72.89,0.0,2000
Commander: Conquest of the Americas,0,68.0,52.0,2010
Commanders: Attack of the Genos,0,73.67,64.0,2008
Commandos 2: Men of Courage,0,71.2,89.0,2001
Commandos 3: Destination Berlin,0,74.74,76.0,2003
Commandos Strike Force,0,62.44,73.0,2006
Company of Heroes,0,93.93,88.0,2006
Company of Heroes 2,0,80.0,21.0,2013
Company of Heroes 2: Ardennes Assault,0,81.0,62.0,2014
Company of Heroes 2: The British Forces,0,80.0,61.0,2015
Company of Heroes 2: The Western Front Armies,0,80.0,69.0,2014
Company of Heroes: Opposing Fronts,0,87.15,87.0,2007
Company of Heroes: Tales of Valor,0,70.0,72.0,2009
Conan,0,70.39,73.0,2007
Conarium,0,73.0,70.0,2017
Conception II: Children of the Seven Stars,0,64.46,0.0,2014
Concrete Jungle,0,76.0,72.0,2015
Concursion,0,66.0,81.0,2014
Condemned 2: Bloodshot,0,80.0,84.0,2008
Condemned: Criminal Origins,0,82.31,79.0,2006
Conduit 2,0,66.34,0.0,2011
Confidential Mission,0,67.83,0.0,2001
Conflict Zone,1,59.0,60.0,2001
Conflict: Denied Ops,0,52.9,48.0,2008
Conflict: Desert Storm,0,68.75,78.0,2002
Conflict: Desert Storm II - Back to Baghdad,0,74.04,79.0,2003
Conflict: Global Terror,0,62.81,83.0,2005
Conflict: Vietnam,0,65.98,80.0,2004
Confrontation,0,51.0,52.0,2012
Conker's Bad Fur Day,0,89.28,0.0,2001
Conker: Live & Reloaded,1,78.98,0.0,2005
Conquest: Frontier Wars,1,80.26,85.0,2001
Constant C,0,60.0,75.0,2013
Constantine,0,60.24,0.0,2005
Construction Simulator 2015,0,63.0,53.0,2014
Contact,0,72.94,0.0,2006
Contagion,0,62.0,73.0,2013
Contra,1,63.0,51.0,2006
Contra 4,1,84.22,0.0,2007
Contra: Shattered Soldier,1,76.48,0.0,2002
Contract J.A.C.K.,0,52.03,60.0,2003
Contradiction - Spot The Liar!,0,72.0,81.0,2015
Contrast,0,59.0,64.0,2013
Convoy,0,72.0,57.0,2015
"Cook, Serve, Delicious! 2!!",0,62.0,76.0,2017
Cooking Mama,0,67.67,0.0,2006
Cooking Mama 2: Dinner With Friends,0,70.92,0.0,2007
Cooking Mama: Cook Off,0,62.81,0.0,2007
Cool Boarders 2001,0,76.08,0.0,2001
Cops 2170: The Power of Law,0,41.5,75.0,2005
Cornerstone: The Song of Tyrim,0,58.0,70.0,2016
Corpse Party,0,71.0,78.0,2016
Corpse Party: Book of Shadows,0,67.94,0.0,2013
Corpse of Discovery,0,49.0,13.0,2015
Cortex Command,0,44.0,72.0,2012
Cosmic Star Heroine,0,76.0,71.0,2017
Cossacks 3,0,63.0,54.0,2016
Cossacks II: Battle for Europe,0,69.0,84.0,2006
Cossacks II: Napoleonic Wars,0,72.8,72.0,2005
Cossacks: Back to War,0,60.0,88.0,2002
Cossacks: European Wars,0,77.17,84.0,2001
Cossacks: The Art of War,0,74.0,85.0,2002
Costume Quest,0,74.0,75.0,2010
Costume Quest 2,0,68.0,75.0,2014
Costume Quest: Grubbins on Ice,0,83.0,81.0,2010
Counter-Strike,0,73.16,92.0,2000
Counter-Strike: Condition Zero,0,66.61,87.0,2004
Counter-Strike: Global Offensive,0,83.0,77.0,2012
Counter-Strike: Source,0,88.0,89.0,2004
CounterSpy,0,67.0,67.0,2014
Covert Ops: Nuclear Dawn,0,63.12,0.0,2000
Crackdown,1,83.35,80.0,2007
Crackdown 2,1,70.0,60.0,2010
Cradle,0,65.0,79.0,2015
Cradle of Rome,0,63.09,0.0,2008
Crash 'N' Burn,0,65.21,0.0,2004
Crash Bandicoot 2: N-Tranced,1,75.07,0.0,2003
Crash Bandicoot N. Sane Trilogy,1,80.0,87.0,2017
Crash Bandicoot Purple: Ripto's Rampage,0,64.2,0.0,2004
Crash Bandicoot: The Huge Adventure,0,78.82,0.0,2002
Crash Bandicoot: The Wrath of Cortex,1,70.12,0.0,2002
Crash Bash,0,71.27,0.0,2000
Crash Commando,0,79.43,86.0,2008
Crash Nitro Kart,0,67.02,0.0,2003
Crash Tag Team Racing,0,68.25,0.0,2005
Crash Team Racing,0,91.78,0.0,1999
Crash Time: Autobahn Pursuit,0,44.0,71.0,2008
Crash Twinsanity,0,66.2,0.0,2004
Crash of the Titans,0,64.79,65.0,2007
Crash: Mind Over Mutant,1,60.0,64.0,2008
Crashday,0,63.0,81.0,2006
Crashday: Redline Edition,0,67.0,75.0,2017
Crasher,0,55.0,70.0,2011
Crashlands,0,78.0,82.0,2016
Crashmo,1,87.46,0.0,2012
Crawl,0,76.0,88.0,2017
Crayon Physics Deluxe,0,79.0,76.0,2009
Crazy Machines 2,0,72.0,74.0,2008
Crazy Machines 3,0,71.0,67.0,2016
Crazy Mouse,0,28.0,42.0,2008
Crazy Taxi,0,78.72,74.0,2010
Crazy Taxi 2,0,83.12,0.0,2001
Crazy Taxi 3: High Roller,0,70.29,0.0,2002
Crazy Taxi: Fare Wars,0,65.34,0.0,2007
CreaVures,0,55.0,25.0,2011
Create,1,61.0,58.0,2010
Crescent Pale Mist,1,52.0,62.0,2010
Crime Cities,0,71.0,70.0,2000
Crime Stories: From the Files of Martin Mystere,0,48.87,47.0,2006
CrimeCraft,0,57.0,59.0,2009
Crimecraft: Bleedout,0,68.0,52.0,2010
Criminal Girls: Invite Only,0,55.0,0.0,2015
Crimson Alliance,0,72.0,72.0,2011
Crimson Dragon,1,55.0,65.0,2013
Crimson Gem Saga,0,79.02,0.0,2009
Crimson Sea,0,77.97,0.0,2002
Crimson Sea 2,0,75.02,0.0,2004
Crimson Shroud,0,75.32,0.0,2012
Crimson Skies,1,84.14,84.0,2000
Crimson Skies: High Road to Revenge,1,89.26,0.0,2003
Crimson Tears,0,63.96,0.0,2004
Crimsonland,0,64.0,62.0,2014
Crisis Core: Final Fantasy VII,1,81.81,0.0,2008
Critical Mass,0,81.0,67.0,2011
Critter Crunch,0,87.0,75.0,2009
Croixleur Sigma,0,56.0,66.0,2014
Crookz: The Big Heist,0,74.0,77.0,2015
Cross Edge,0,52.0,72.0,2009
Cross Racing Championship 2005,0,77.0,73.0,2005
Cross of the Dutchman,0,59.0,73.0,2015
Crossing Souls,0,71.0,61.0,2018
Crossout,0,68.0,66.0,2017
"Crouching Tiger, Hidden Dragon",1,45.97,0.0,2003
Crown of Glory: Europe in the Age of Napoleon,0,68.0,80.0,2005
Crowntakers,0,70.0,74.0,2014
Crusader Kings,0,74.78,76.0,2004
Crusader Kings II,0,82.0,87.0,2012
Crusader Kings II: Charlemagne,0,80.0,68.0,2014
Crusader Kings II: Rajas of India,0,80.0,72.0,2014
Crusader Kings II: Sons of Abraham,0,77.0,76.0,2013
Crusader Kings II: The Old Gods,0,88.0,87.0,2013
Crusader Kings II: The Republic,0,81.0,82.0,2013
Crush,0,82.05,0.0,2007
Crush Your Enemies,0,63.0,65.0,2016
Crusty Demons,0,54.76,0.0,2006
Cryostasis: The Sleep of Reason,0,69.0,79.0,2009
Crypt of the NecroDancer,0,87.0,78.0,2015
Cryptark,0,80.0,62.0,2017
Crysis,1,90.23,80.0,2007
Crysis 2,1,84.0,68.0,2011
Crysis 3,1,76.0,66.0,2013
Crysis Warhead,1,84.0,79.0,2008
Crystal Defenders,1,52.0,62.0,2009
Crystal Quest,1,64.0,76.0,2006
Crystal Rift,0,37.0,55.0,2016
Cthulhu Saves the World,0,78.0,72.0,2011
Cuban Missile Crisis: The Aftermath,0,57.9,80.0,2005
Cubemen,0,74.0,62.0,2012
Cubemen 2,0,68.0,68.0,2013
Cubetractor,0,75.0,72.0,2013
Cubixx HD,0,70.0,65.0,2011
Cuboid,0,79.0,76.0,2009
Cubot - The Complexity of Simplicity,0,68.0,70.0,2016
Culdcept,0,81.03,0.0,2003
Culdcept Saga,1,76.24,87.0,2008
Culpa Innata,0,66.0,79.0,2007
Cultures,0,62.0,82.0,2001
Cultures 2: The Gates of Asgard,0,72.0,73.0,2002
Cuphead,0,86.0,83.0,2017
Curious George,1,58.0,65.0,2006
Curse of Atlantis: Thorgal's Quest,0,59.0,30.0,2003
Curse: The Eye of Isis,0,60.15,66.0,2003
Cursed Mountain,0,69.43,0.0,2009
Curses 'N Chaos,0,70.0,60.0,2015
Custom Robo,1,67.91,0.0,2004
Custom Robo Arena,1,72.17,0.0,2007
Cutthroats: Terror on the High Seas,0,55.55,0.0,1999
Cy Girls,1,55.42,0.0,2004
Cyber Troopers Virtual On: Oratorio Tangram,1,79.88,0.0,2000
Cyberball 2072,0,41.0,79.0,2007
Cyberdimension Neptunia: 4 Goddesses Online,0,71.0,73.0,2017
D-Day,0,56.0,80.0,2004
D4: Dark Dreams Don't Die,1,76.0,72.0,2014
DARK,0,38.0,43.0,2013
DC Universe Online,1,67.0,68.0,2011
DCS: A-10C Warthog,0,87.0,88.0,2011
DCS: Black Shark,1,82.0,86.0,2009
DDRMAX2: Dance Dance Revolution,1,82.35,0.0,2003
DDRMAX: Dance Dance Revolution,1,86.17,0.0,2002
DEADBOLT,0,76.0,80.0,2016
DEFCON: Everybody Dies,0,84.0,83.0,2006
DESYNC,0,69.0,75.0,2017
DG2: Defense Grid 2,0,81.0,67.0,2014
DISTRAINT,0,76.0,79.0,2015
DJ Hero,1,84.0,77.0,2009
DJ Hero 2,1,86.0,78.0,2010
DJMax Respect,0,85.0,83.0,2018
DK: Jungle Climber,1,76.75,0.0,2007
DK: King of Swing,1,71.85,0.0,2005
DOA2: Hardcore,0,87.38,0.0,2000
DOFUS,0,72.0,75.0,2005
DOOM,0,85.0,84.0,2016
DOOM VFR,0,72.0,69.0,2017
DOOM: Unto The Evil,0,75.0,64.0,2016
DRIV3R,0,59.98,32.0,2005
Da New Guys: Day of the Jackass,0,56.0,62.0,2012
Daemonica,0,70.76,85.0,2006
Damage Inc.: Pacific Squadron WWII,0,49.0,55.0,2012
Damnation,0,36.0,43.0,2009
Dance Central,0,82.0,76.0,2010
Dance Central 2,1,86.0,82.0,2011
Dance Central 3,1,86.0,81.0,2012
Dance Central Spotlight,1,74.0,69.0,2014
Dance Dance Revolution Extreme,1,76.6,0.0,2004
Dance Dance Revolution Extreme 2,1,78.77,0.0,2005
Dance Dance Revolution SuperNOVA,1,75.36,0.0,2006
Dance Dance Revolution Ultramix,1,81.01,0.0,2003
Dance Dance Revolution Universe,1,74.0,80.0,2007
Dance Dance Revolution Universe 2,1,65.0,74.0,2007
Dance Dance Revolution Universe 3,1,65.0,77.0,2008
Dance Dance Revolution: Mario Mix,1,71.76,0.0,2005
DanceMasters,1,63.0,64.0,2010
Dandara,0,70.0,62.0,2018
Danganronpa 1-2 Reload,0,83.0,82.0,2017
Danganronpa 2: Goodbye Despair,0,83.67,89.0,2016
Danganronpa Another Episode: Ultra Despair Girls,0,75.13,74.0,2017
Danganronpa V3: Killing Harmony,0,81.0,82.0,2017
Danganronpa: Trigger Happy Havoc,0,83.07,84.0,2016
Danger Zone,0,64.0,75.0,2017
Dangerous Golf,0,56.0,32.0,2016
Dangerous High School Girls in Trouble,0,81.0,59.0,2008
Dangerous Waters,0,82.5,88.0,2005
Dante's Inferno,1,73.0,76.0,2010
Dante's Inferno: Trials of St. Lucia,1,72.0,60.0,2010
Dariusburst: Chronicle Saviours,0,80.0,78.0,2015
Dark Age of Camelot,0,88.08,83.0,2001
Dark Age of Camelot: Catacombs,0,83.0,79.0,2004
Dark Age of Camelot: Darkness Rising,0,76.0,80.0,2005
Dark Age of Camelot: Shrouded Isles,0,85.0,83.0,2002
Dark Age of Camelot: Trials of Atlantis,0,75.5,76.0,2003
Dark Arena,0,64.98,0.0,2002
Dark Cloud,0,78.82,0.0,2001
Dark Cloud 2,0,88.46,0.0,2003
Dark Fall 3: Lost Souls,0,75.0,72.0,2010
Dark Fall: Lights Out,0,69.94,71.0,2004
Dark Fall: The Journal,0,68.0,75.0,2003
Dark Horizon,0,55.0,54.0,2008
Dark Messiah of Might and Magic,1,73.56,87.0,2006
Dark Messiah of Might and Magic: Elements,1,53.86,70.0,2008
Dark Planet: Battle for Natrolis,1,59.0,84.0,2002
Dark Reign 2,1,77.67,79.0,2000
Dark Rose Valkyrie,0,58.0,71.0,2017
Dark Sector,0,72.0,75.0,2008
Dark Souls,1,89.0,89.0,2011
Dark Souls II,1,91.0,72.0,2014
Dark Souls II: Crown of the Ivory King,1,82.0,81.0,2014
Dark Souls II: Crown of the Old Iron King,1,79.0,76.0,2014
Dark Souls II: Crown of the Sunken King,1,82.0,74.0,2014
Dark Souls II: Scholar of the First Sin,1,87.0,80.0,2015
Dark Souls III,1,89.0,89.0,2016
Dark Souls III: Ashes of Ariandel,1,71.0,71.0,2016
Dark Souls III: The Ringed City,1,82.0,83.0,2017
Dark Souls: Artorias of the Abyss,1,89.0,86.0,2012
Dark Souls: Prepare to Die Edition,1,85.0,76.0,2012
Dark Summit,0,66.73,0.0,2001
Dark Void,0,59.0,51.0,2010
DarkMaus,0,83.0,73.0,2016
DarkStar One,0,71.0,72.0,2006
DarkStar One: Broken Alliance,0,63.0,71.0,2010
Darkened Skye,0,65.0,78.0,2002
Darkest Dungeon,0,84.0,78.0,2016
Darkest Dungeon: The Crimson Court,0,82.0,71.0,2017
Darkest Hour: A Hearts of Iron Game,0,81.0,81.0,2011
Darkest of Days,0,47.21,61.0,2009
Darkestville Castle,0,68.0,80.0,2017
Darkness Within: In Pursuit of Loath Nolder,0,52.0,71.0,2007
Darknet,0,78.0,46.0,2017
Darkout,0,55.0,68.0,2013
Darksiders,0,83.0,77.0,2010
Darksiders II,0,83.0,79.0,2012
Darksiders II: Argul's Tomb,0,64.0,66.0,2012
Darksiders II: Deathinitive Edition,0,72.0,74.0,2015
Darksiders: Warmastered Edition,0,80.0,76.0,2016
Darkspore,1,65.0,60.0,2011
Darkstalkers Chronicle: The Chaos Tower,0,74.99,0.0,2005
Darkstalkers Resurrection,0,80.0,74.0,2013
Darkstar: The Interactive Movie,0,36.0,65.0,2010
Darkstone,1,77.39,0.0,2001
Darkwatch,0,77.53,0.0,2005
Darkwood,0,80.0,84.0,2017
Darwinia,0,85.57,79.0,2005
Darwinia+,0,80.0,61.0,2010
Dash of Destruction,1,53.0,63.0,2008
Datura,0,57.0,57.0,2012
Dave Mirra Freestyle BMX,0,80.5,77.0,2000
Dave Mirra Freestyle BMX 2,0,80.07,0.0,2001
Dawn of Discovery,1,82.0,88.0,2009
Dawn of Discovery: Venice,1,78.0,84.0,2010
Dawn of Fantasy,0,59.0,70.0,2011
Dawn of Magic,0,52.0,57.0,2007
Dawn of Mana,1,57.4,0.0,2007
Dawnspire: Prelude,0,58.0,83.0,2007
Daxter,0,86.35,0.0,2006
Day of Defeat,1,78.92,91.0,2003
Day of Defeat: Source,0,81.25,91.0,2005
Day of Infamy,0,77.0,87.0,2016
Day of the Tentacle Remastered,0,86.0,80.0,2016
Daydreamer: Awakened Edition,0,68.0,60.0,2016
Daylight,0,51.0,43.0,2014
Daytona USA,0,83.48,70.0,2011
De-formers,0,60.0,42.0,2017
Dead Block,1,50.0,69.0,2011
Dead Effect,0,59.0,63.0,2014
Dead Effect 2,0,56.0,56.0,2016
Dead Head Fred,0,76.97,0.0,2007
Dead Horde,0,45.0,51.0,2011
Dead Island,0,71.0,69.0,2011
Dead Island: Definitive Collection,0,63.0,64.0,2016
Dead Island: Retro Revenge,0,65.0,65.0,2016
Dead Island: Riptide,0,57.0,60.0,2013
Dead Island: Ryder White,0,44.0,62.0,2012
Dead Man's Hand,0,59.53,63.0,2004
Dead Nation,0,77.0,68.0,2010
Dead Nation: Apocalypse Edition,0,74.0,71.0,2014
Dead Nation: Road of Devastation,0,75.0,65.0,2011
Dead Reefs,0,51.0,77.0,2007
Dead Rising,0,85.1,76.0,2006
Dead Rising 2,0,79.0,70.0,2010
Dead Rising 2: Case West,0,74.0,70.0,2010
Dead Rising 2: Case Zero,0,79.0,78.0,2010
Dead Rising 2: Off the Record,0,72.0,74.0,2011
Dead Rising 3,1,78.0,69.0,2013
Dead Rising 3: Apocalypse Edition,0,70.0,55.0,2014
Dead Rising 3: Chaos Rising,1,50.0,36.0,2014
Dead Rising 3: Fallen Angel,1,56.0,45.0,2014
Dead Rising 3: Operation Broken Eagle,1,52.0,42.0,2014
Dead Rising 3: The Last Agent,1,51.0,40.0,2014
Dead Rising 4,1,72.0,47.0,2016
Dead Rising 4: Frank Rising,1,47.0,22.0,2017
Dead Rising 4: Frank's Big Package,0,71.0,51.0,2017
Dead Rising Triple Pack,0,71.0,67.0,2016
Dead Rising: Chop Till You Drop,0,61.19,0.0,2009
Dead Space,1,89.0,80.0,2008
Dead Space 2,1,90.0,84.0,2011
Dead Space 2: Severed,1,57.0,68.0,2011
Dead Space 3,1,78.0,61.0,2013
Dead Space 3: Awakened,1,50.0,51.0,2013
Dead Space Ignition,1,35.0,49.0,2010
Dead Space: Extraction,1,83.9,69.0,2011
Dead Star,0,70.0,59.0,2016
Dead State,0,70.0,66.0,2014
Dead Synchronicity: Tomorrow Comes Today,0,70.0,76.0,2015
Dead by Daylight,0,63.0,68.0,2016
Dead or Alive 2,0,91.37,0.0,2000
Dead or Alive 3,1,86.19,0.0,2001
Dead or Alive 4,0,85.49,82.0,2005
