game,AAA,critics,user,year
Acceleration of SUGURI X-Edition,1,61.0,55.0,2011
Accounting+,0,74.0,73.0,2017
Ace Attorney Investigations: Miles Edgeworth,0,78.81,0.0,2010
Ace Banana,0,40.0,48.0,2016
Ace Combat 04: Shattered Skies,1,86.07,0.0,2001
Ace Combat 5: The Unsung War,1,84.81,0.0,2004
Ace Combat 6: Fires of Liberation,1,81.59,79.0,2007
Ace Combat Assault Horizon: Enhanced Edition,1,77.0,59.0,2013
Ace Combat Infinity,1,54.0,56.0,2014
Ace Combat X: Skies of Deception,0,76.23,0.0,2006
Ace Combat Zero: The Belkan War,1,75.47,0.0,2006
Ace Combat: Assault Horizon,1,78.0,68.0,2011
Ace Combat: Assault Horizon Legacy,1,72.28,0.0,2011
Ace Combat: Joint Assault,1,72.68,0.0,2010
Ace of Spades,0,49.0,52.0,2012
Aces of the Galaxy,0,71.0,73.0,2008
Achron,0,54.0,78.0,2011
Achtung Panzer: Kharkov 1943,0,70.0,83.0,2010
Act of Aggression,0,71.0,71.0,2015
Act of War: Direct Action,0,82.97,84.0,2005
Act of War: High Treason,0,74.0,80.0,2006
Action Henk,0,73.0,75.0,2015
Action News Heroes,0,49.0,81.0,2016
Active Soccer 2 DX,0,53.0,72.0,2016
Activision Anthology,1,75.67,0.0,2002
Actual Sunlight,0,77.0,65.0,2013
Adam's Venture Chronicles,0,49.0,68.0,2014
Adam's Venture: Origins,0,53.0,58.0,2016
Adam's Venture: The Search for the Lost Garden,0,52.0,61.0,2009
Adidas miCoach,0,54.0,59.0,2012
Adrenalin Misfits,1,54.62,0.0,2010
Advance Guardian Heroes,0,64.91,0.0,2004
Advance Wars,1,92.38,0.0,2001
Advance Wars 2: Black Hole Rising,1,90.16,0.0,2003
Advance Wars: Days of Ruin,1,85.37,0.0,2008
Advance Wars: Dual Strike,1,90.28,0.0,2005
Advent Rising,0,67.58,86.0,2005
Adventure Park,0,49.0,41.0,2013
Adventure Pinball: Forgotten Island,1,60.0,70.0,2001
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,0,40.0,41.0,2013
Adventure Time: Finn and Jake Investigations,0,66.0,54.0,2015
Adventure Time: The Secret of the Nameless Kingdom,0,58.0,75.0,2014
Adventures of Pip,0,72.0,68.0,2015
Aedis Eclipse: Generation of Chaos,0,65.0,0.0,2007
Aegis Wing,1,58.0,70.0,2007
Aegis of Earth: Protonovus Assault,0,57.0,70.0,2016
Aeon Flux,0,68.48,0.0,2005
AereA,0,46.0,18.0,2017
AeroWings 2: Air Strike,0,69.48,0.0,2000
Affordable Space Adventures,0,80.52,0.0,2015
Afrika,0,63.0,62.0,2009
Afro Samurai,1,65.0,62.0,2009
Afro Samurai 2: Revenge of Kuma Volume One,0,21.0,27.0,2015
After Burner Climax,0,72.0,66.0,2010
After Burner: Black Falcon,0,72.21,0.0,2007
Afterfall: InSanity,0,50.0,59.0,2011
Again: Interactive Crime Novel,0,54.32,0.0,2010
Agarest: Generations of War,0,45.0,68.0,2013
Agatha Christie's The ABC Murders,0,67.0,64.0,2016
Agatha Christie: And Then There Were None,0,65.36,76.0,2005
Agatha Christie: Evil Under the Sun,0,66.0,72.0,2007
Agatha Christie: Murder on the Orient Express,0,65.22,78.0,2006
Agatha Christie: The ABC Murders,0,66.0,85.0,2016
Age of Booty,0,77.86,72.0,2008
Age of Conan: Hyborian Adventures,0,80.0,73.0,2008
Age of Conan: Rise of the Godslayer,0,83.0,82.0,2010
Age of Empires,1,83.0,87.0,1997
Age of Empires II: HD Edition,1,68.0,78.0,2013
Age of Empires II: The Age of Kings,1,91.81,90.0,1999
Age of Empires II: The Conquerors Expansion,1,89.11,90.0,2000
Age of Empires III,1,82.38,77.0,2005
Age of Empires III: The Asian Dynasties,1,78.89,85.0,2007
Age of Empires III: The WarChiefs,1,81.27,81.0,2006
Age of Empires Online,1,70.0,57.0,2011
Age of Empires: Definitive Edition,1,70.0,44.0,2018
Age of Empires: Mythologies,0,79.54,0.0,2008
Age of Empires: The Age of Kings,0,79.81,0.0,2006
Age of Mythology,1,88.67,89.0,2002
Age of Mythology: Extended Edition,1,66.0,70.0,2014
